Iteration,readAccel,readGyro,getClickSense,getClickBLE,applyCalibration,sensorFusion,mouseMove,ax,ay,dx,dy
294,948,916,26,0,18,13,303,0.24,0.57,4,13
295,957,918,29,0,18,14,304,0.25,0.56,5,15
296,941,912,26,0,18,13,303,0.28,0.57,6,16
297,943,912,30,0,18,13,324,0.34,0.48,7,17
298,959,919,26,0,18,13,304,0.31,0.42,8,17
299,942,925,42,0,17,13,328,0.3,0.4,9,16
300,959,916,26,0,17,14,304,0.31,0.3,10,15
301,943,912,29,0,18,14,309,0.3,-0.37,10,9
302,947,914,27,1,17,13,306,0.3,-0.43,10,4
303,942,912,29,1,18,13,339,0.24,-0.39,10,0
304,957,918,26,1,18,13,305,0.27,-0.43,10,-3
305,943,912,30,0,18,13,313,0.21,-0.66,10,-8
306,944,933,35,0,20,14,322,0.21,-0.69,9,-11
307,942,912,28,1,17,13,305,0.19,-0.66,9,-14
308,945,913,26,0,18,13,304,0.17,-0.64,8,-16
309,943,912,29,1,17,13,318,0.19,-0.53,8,-17
310,941,930,26,1,17,13,354,0.18,-0.5,8,-18
311,942,912,29,1,18,14,308,0.19,-0.4,8,-17
312,944,932,30,1,20,13,320,0.14,-0.37,7,-17
313,943,912,30,0,18,13,313,0.1,0,6,-13
314,947,926,30,1,19,13,328,0,0,5,-10
315,927,909,27,1,17,12,297,0,0,4,-8
316,930,926,23,0,17,13,328,0,0,3,-7
317,927,909,26,0,17,13,298,0,0,2,-5
318,932,909,24,1,17,13,306,0,0,2,-4
319,927,909,26,0,17,13,298,0,0,1,-3
320,930,909,24,0,17,13,297,0,0,1,-2
321,927,909,26,0,17,13,297,0,0,1,-2
322,931,910,24,1,18,13,305,0,0,0,-1
323,927,909,27,1,18,13,297,0,0,0,-1
324,930,909,24,0,18,13,297,0,0,0,-1
325,927,909,26,0,17,12,298,0,0,0,0
326,930,909,25,1,17,12,296,0,0,0,0
327,929,909,26,1,17,12,305,0,0,0,0
328,935,909,24,0,17,12,296,0,0,0,0
329,927,909,26,0,18,12,297,0,0,0,0
330,936,909,23,1,17,12,298,0,0,0,0
331,929,909,27,1,17,12,306,0,0,0,0
332,930,909,24,0,17,12,295,0,0,0,0
333,927,909,26,1,17,12,296,0,0,0,0
334,940,909,23,1,17,12,296,0,0,0,0
335,927,909,26,1,17,11,296,0,0,0,0
336,941,927,24,0,18,10,312,0,0,0,0
337,936,909,27,1,17,9,296,0,0,0,0
338,930,910,24,0,18,9,294,0,0,0,0
339,930,909,27,1,17,10,295,0,0,0,0
340,931,925,26,1,18,12,329,0,-0.13,0,-1
341,958,921,28,1,17,13,308,0.11,0,0,0
342,948,927,24,1,18,13,310,0,0,0,0
343,936,909,26,1,17,12,295,0,0,0,0
344,930,911,23,1,17,11,293,0,0,0,0
345,930,909,27,0,18,12,305,0.26,0,2,0
346,947,913,25,0,17,13,313,0.28,0.1,3,0
347,941,933,34,0,18,13,329,0.27,0.14,5,1
348,942,915,26,0,18,14,303,0.28,0.16,6,2
349,943,922,33,1,19,13,314,0,0,5,2
350,930,909,26,1,18,13,296,-0.13,-0.78,3,-4
351,942,930,28,1,17,13,329,0,0,2,-3
352,931,909,24,1,17,9,300,0,0,0,0
353,927,927,27,1,17,11,338,0,0,0,0
354,932,909,24,1,18,10,304,0,0,0,0
355,927,910,26,0,17,10,296,0,0,0,0
356,930,909,24,1,17,10,296,0,0,0,0
357,927,909,27,1,17,12,296,0,0,0,0
358,931,910,24,594,23,15,290,0,0,0,0
359,928,910,25,1,18,13,304,0,0,0,0
360,930,909,24,1,17,11,295,0,0,0,0
361,927,911,27,0,19,12,325,0.13,0,1,0
362,947,913,26,0,18,12,304,0.14,0,1,0
363,946,912,29,1,17,13,313,0.26,0,3,0
364,947,913,25,0,18,13,306,0.23,0,4,0
365,945,914,28,0,18,12,325,0.23,0,5,0
366,947,913,26,1,17,12,305,0.22,0,6,0
367,946,912,29,1,17,12,312,0.22,0,6,0
368,947,913,26,1,17,12,305,0.22,0,7,0
369,945,912,28,0,17,12,304,0.22,0,7,0
370,947,913,26,0,18,12,306,0.22,0,7,0
371,945,912,29,0,18,13,304,0.23,0,7,0
372,949,913,26,1,17,12,312,0,0,6,0
373,942,909,26,1,17,11,296,0,0,5,0
374,930,909,24,0,17,12,296,0,0,4,0
375,931,909,27,1,18,12,295,0,0,3,0
376,931,910,24,1,17,12,304,0,0,2,0
377,940,910,26,1,17,12,296,0,0,2,0
378,930,909,25,1,17,10,296,0,0,0,0
379,951,911,26,0,18,9,294,0,0,0,0
380,930,909,24,0,18,9,295,0,0,0,0
381,929,924,26,0,18,12,327,0,0,0,0
382,929,909,24,0,18,12,296,0,0,0,0
383,927,921,27,1,18,11,326,0,0,0,0
384,930,909,24,1,18,12,296,0,0,0,0
385,935,926,27,1,18,12,299,0,0,0,0
386,931,910,24,1,18,12,305,0,0,0,0
387,927,909,26,1,17,11,296,0,0,0,0
388,930,918,24,0,18,12,295,0,0,0,0
389,927,909,26,0,17,11,302,0,0,0,0
390,931,910,23,1,17,11,304,0,0,0,0
391,927,909,26,1,17,11,296,0,0,0,0
392,937,910,24,1,18,12,296,0,0,0,0
393,927,909,26,0,17,11,296,0,0,0,0
394,930,909,25,1,17,12,297,0,0.12,0,0
395,945,912,28,1,17,12,312,0,0,0,0
396,942,909,25,1,17,12,301,0,0,0,0
397,927,909,26,1,17,11,296,0,0,0,0
398,930,909,23,1,17,11,295,0,0,0,0
399,929,909,27,1,18,12,306,0,0,0,0
400,940,909,24,0,18,11,295,0,0,0,0
401,927,909,26,0,18,11,296,0,0,0,0
402,931,910,24,1,17,11,302,0,0,0,0
403,927,909,27,1,18,11,296,0,0,0,0
404,931,909,23,1,17,13,304,0.11,0.1,0,0
405,956,914,28,1,17,12,306,0,0,0,0
406,946,913,25,1,17,12,294,0,0,0,0
407,927,909,26,1,17,11,296,0,0,0,0
408,933,924,23,1,18,10,313,0,0,0,0
409,930,909,26,1,18,10,296,0,0,0,0
410,930,920,24,0,17,9,293,0,0,0,0
411,935,909,27,1,18,10,295,0,0,0,0
412,934,913,24,1,18,12,294,0,0,0,0
413,930,911,27,1,18,12,306,0,0,0,0
414,930,909,24,0,17,11,300,0,0,0,0
415,931,911,27,1,18,12,295,0.12,0,0,0
416,947,913,25,0,18,13,305,0.16,0,2,0
417,962,928,29,1,17,12,304,0.13,0,2,0
418,949,913,27,1,17,13,311,0.44,0.23,5,1
419,941,914,29,1,17,13,312,0.47,0.21,8,3
420,942,912,26,0,17,13,303,0.51,0.19,10,4
421,942,914,29,1,18,13,352,0.49,0.2,12,4
422,943,912,28,1,18,13,312,0.19,0,11,3
423,947,913,29,1,17,13,306,0.2,0,10,3
424,945,912,26,0,18,13,304,0.21,0,10,2
425,947,918,29,1,17,12,313,0.25,0,10,1
426,946,912,28,1,18,10,312,0,0,0,0
427,931,909,26,1,18,10,295,0,0,0,0
428,927,909,24,1,18,10,296,0,0,0,0
429,930,909,27,1,18,10,298,0,0,0,0
430,927,909,24,0,17,11,295,0,0,0,0
431,932,909,26,0,17,12,304,0.24,0,1,0
432,945,912,26,0,18,13,304,0.28,0,3,0
433,950,915,29,1,17,12,307,0.31,0,5,0
434,945,912,25,1,18,13,303,0.37,0.14,7,1
435,950,914,29,1,18,13,309,0.4,0,9,0
436,947,913,25,0,18,13,305,0.41,0,10,0
437,945,912,28,1,17,12,303,0.41,0,11,0
438,947,913,25,0,18,13,304,0.36,0,12,0
439,945,912,28,0,18,12,304,0.3,0,12,0
440,949,913,27,1,17,13,313,0.2,0,11,0
